0.46245  	-0.0222  	0.23104  	-0.7241  	0.15843  	-1.2248  	0.36267  	0.18123  	-0.1169  	-0.5989  	0.34568  	-0.0264  	0.32705  	0.20617  	-0.9292  	0.56940  	-0.0589  	0.36506  	0.07289  	0.80600  	0.06581  	-0.1268  	-0.5015  	0.25111  	0.48392  	-0.4470  	-0.5800  	-0.0943  	0.07539  	0.21427  	0.10057  	0.00467  	-5.1291  	-0.1104  	0.28329  	-0.0061  	0.07825  	0.04423  	-0.4604  	0.09854  	0.39531  	-0.0538  	0.00790  	0.22301  	-0.0401  	-0.0833  	0.10156  	-0.1320  	-0.0358  	-0.1164  	-0.0349  	-0.0468  	-0.0342  	-0.0310  	-0.0158  	-0.0413  	0.02220  	0.01654  	-0.0253  	-0.0537  	-0.0078  	0.06404  	0.09168  	-0.0005  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
0.14576  	-0.1810  	-0.0470  	-0.8540  	0.19978  	-1.5103  	0.35348  	0.00978  	-0.1736  	-0.4322  	0.40133  	-0.0117  	0.31440  	0.08702  	-1.1376  	0.48664  	-0.1037  	0.46460  	0.05176  	0.96372  	-0.1737  	-0.1390  	-0.6272  	0.19128  	0.45471  	-0.3964  	-0.7753  	0.15101  	0.22917  	0.19186  	0.11520  	-0.0270  	-0.0085  	-0.1087  	0.16696  	0.11576  	-0.1115  	-0.0263  	-0.3922  	0.16161  	0.44952  	-0.0461  	0.00452  	0.22043  	-0.0335  	-0.0824  	0.10135  	-0.1274  	-0.0249  	-0.1198  	-0.0382  	-0.0463  	-0.0356  	-0.0298  	-0.0102  	-0.0462  	0.03255  	0.01797  	-0.0154  	-0.0500  	-0.0089  	0.06281  	0.08004  	0.00140  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
-0.1893  	-0.2911  	-0.2743  	-1.0092  	0.20800  	-1.7022  	0.37655  	-0.0360  	-0.2256  	-0.4228  	0.42211  	-0.0598  	0.28614  	-0.0674  	-1.3322  	0.41008  	-0.1273  	0.53236  	0.08727  	1.00200  	-0.3358  	-0.1380  	-0.6477  	0.11362  	0.43655  	-0.3963  	-0.8865  	0.27500  	0.34353  	0.19764  	0.13270  	-0.0637  	-0.0188  	-0.0964  	0.09063  	0.18672  	-0.2098  	-0.0692  	-0.3551  	0.14460  	0.42462  	-0.0419  	-0.0241  	0.21867  	-0.0315  	-0.0819  	0.09715  	-0.1185  	-0.0254  	-0.1246  	-0.0313  	-0.0486  	-0.0428  	-0.0404  	-0.0124  	-0.0549  	0.03706  	0.02818  	-0.0260  	-0.0559  	-0.0102  	0.05406  	0.08611  	-0.0044  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
-0.1767  	-0.3277  	-0.2498  	-0.9984  	0.27461  	-1.8207  	0.39869  	0.00105  	-0.2424  	-0.3974  	0.57215  	-0.0741  	0.27447  	-0.0414  	-1.2343  	0.29446  	-0.1370  	0.46459  	0.04784  	0.98095  	-0.1891  	-0.1595  	-0.6590  	0.26248  	0.50199  	-0.3972  	-0.7690  	0.13004  	0.23589  	0.16859  	0.11418  	-0.0713  	-0.0002  	-0.1014  	0.18401  	0.10707  	-0.1294  	-0.0680  	-0.3921  	0.15759  	0.38058  	-0.0135  	-0.0468  	0.18387  	-0.0016  	-0.0820  	0.11612  	-0.1443  	-0.0342  	-0.1068  	-0.0306  	-0.0491  	-0.0395  	-0.0354  	-0.0195  	-0.0599  	0.03196  	0.01630  	-0.0241  	-0.0472  	-0.0186  	0.05234  	0.08398  	-0.0101  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
0.20861  	-0.1918  	0.07754  	-0.7506  	0.27042  	-1.5735  	0.41145  	0.16242  	-0.1660  	-0.4620  	0.36625  	0.00403  	0.38752  	0.29160  	-0.8468  	0.42389  	-0.1082  	0.40707  	0.08753  	0.92999  	-0.0349  	-0.1397  	-0.6430  	0.33343  	0.39861  	-0.4295  	-0.6684  	0.06820  	0.10551  	0.18932  	0.11193  	-0.0290  	0.01414  	-0.0917  	0.18858  	-0.0056  	-0.0942  	-0.0297  	-0.4282  	0.21544  	0.36461  	-0.0248  	-0.0212  	0.21834  	-0.0244  	-0.0887  	0.11180  	-0.1199  	-0.0182  	-0.1137  	-0.0452  	-0.0555  	-0.0445  	-0.0301  	-0.0289  	-0.0541  	0.02007  	0.01602  	-0.0328  	-0.0596  	-0.0260  	0.05474  	0.06009  	-0.0070  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
0.56388  	-0.0007  	0.28790  	-0.6769  	0.23014  	-1.2115  	0.38932  	0.15981  	-0.1454  	-0.5051  	-0.0858  	-0.1442  	0.46077  	0.46140  	-0.5824  	0.33544  	-0.0606  	0.36003  	0.05637  	0.75756  	-0.0920  	-0.0035  	-0.4649  	0.29126  	0.55369  	-0.4416  	-0.5306  	-0.1197  	0.14050  	0.27790  	0.12079  	-0.0235  	-0.0154  	-0.1155  	0.21727  	0.00295  	-0.0424  	-0.0079  	-0.4044  	0.19258  	0.36406  	-0.0398  	0.02244  	0.24773  	-0.0462  	-0.0897  	0.09193  	-0.0982  	-0.0024  	-0.1255  	-0.0399  	-0.0400  	-0.0473  	-0.0313  	-0.0150  	-0.0382  	0.01015  	0.00789  	-0.0155  	-0.0464  	-0.0103  	0.07198  	0.08626  	-0.0067  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
0.63778  	-0.0474  	0.22981  	-0.4436  	0.31063  	-1.1032  	0.42557  	0.15392  	-0.1594  	-0.5635  	-0.1393  	-0.2486  	0.49430  	0.40967  	-0.6289  	0.37797  	-0.0082  	0.30584  	0.09432  	0.70902  	-0.0843  	0.05075  	-0.4770  	0.25889  	0.71002  	-0.4732  	-0.4380  	-0.1586  	0.22459  	0.32478  	0.08504  	-0.0158  	-0.0591  	-0.1146  	0.23181  	0.03323  	-0.0402  	-0.0183  	-0.3831  	0.18031  	0.33424  	-0.0311  	0.01203  	0.24728  	-0.0449  	-0.0852  	0.08038  	-0.0881  	0.00072  	-0.1113  	-0.0316  	-0.0492  	-0.0459  	-0.0315  	-0.0058  	-0.0294  	0.01443  	0.01214  	-0.0313  	-0.0448  	-0.0168  	0.06432  	0.08458  	-0.0148  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
0.32188  	-0.0802  	0.07392  	-0.6480  	0.26561  	-1.3741  	0.39836  	0.09456  	-0.1936  	-0.5018  	0.18009  	-0.1095  	0.36874  	0.24359  	-0.8745  	0.43155  	-0.0798  	0.41857  	0.08864  	0.84986  	-0.0518  	-0.0441  	-0.5758  	0.27602  	0.64379  	-0.4699  	-0.5635  	-0.0309  	0.22792  	0.26896  	0.07610  	-0.0300  	-0.0407  	-0.1050  	0.27067  	0.06542  	-0.0404  	-0.0259  	-0.4181  	0.17645  	0.36472  	-0.0342  	-0.0161  	0.21138  	-0.0287  	-0.0800  	0.09922  	-0.1265  	-0.0310  	-0.1211  	-0.0288  	-0.0503  	-0.0376  	-0.0341  	-0.0202  	-0.0439  	0.02814  	0.01655  	-0.0188  	-0.0460  	-0.0108  	0.05694  	0.07667  	-0.0019  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
0.02619  	-0.1841  	-0.0810  	-0.9096  	0.18112  	-1.5124  	0.40001  	-0.0079  	-0.2329  	-0.4421  	0.31397  	-0.1016  	0.26419  	-0.0266  	-1.1486  	0.40527  	-0.1305  	0.50797  	0.08714  	0.92224  	-0.2270  	-0.1154  	-0.6292  	0.21653  	0.58202  	-0.4600  	-0.6791  	0.09640  	0.33533  	0.25001  	0.12183  	-0.0428  	-0.0412  	-0.0892  	0.15244  	0.14467  	-0.1272  	-0.0366  	-0.3691  	0.20279  	0.39196  	-0.0381  	-0.0161  	0.22277  	-0.0322  	-0.0800  	0.08578  	-0.1353  	-0.0324  	-0.1236  	-0.0164  	-0.0487  	-0.0404  	-0.0393  	-0.0159  	-0.0460  	0.03322  	0.01668  	-0.0208  	-0.0476  	-0.0116  	0.05271  	0.08941  	0.00199  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
-0.1680  	-0.2679  	-0.1209  	-1.0841  	0.07306  	-1.5626  	0.38064  	-0.0737  	-0.2758  	-0.4055  	0.36807  	-0.1796  	0.22819  	-0.1657  	-1.3115  	0.36340  	-0.0906  	0.50191  	0.08783  	0.94586  	-0.3034  	-0.1367  	-0.5767  	0.14951  	0.59204  	-0.4325  	-0.7386  	0.14675  	0.35525  	0.22804  	0.13471  	-0.0308  	-0.0728  	-0.0956  	0.06051  	0.18899  	-0.1417  	-0.0281  	-0.3547  	0.15170  	0.44788  	-0.0484  	-0.0036  	0.23565  	-0.0140  	-0.0857  	0.09294  	-0.1432  	-0.0421  	-0.1185  	-0.0303  	-0.0463  	-0.0352  	-0.0379  	-0.0106  	-0.0563  	0.03716  	0.02234  	-0.0235  	-0.0539  	-0.0117  	0.05374  	0.09175  	0.00291  	0.05966  	0.09464  	0.10618  	0.01436  	-0.0206  	0.42081  	
