-0.5149  	-0.5177  	0.42942  	-0.5721  	0.92617  	-1.2131  	-1.8721  	-0.9582  	0.55800  	-0.9558  	-0.9434  	2.85580  	-0.5908  	-1.4865  	-2.5283  	1.04466  	0.38362  	0.04576  	1.07264  	-0.2681  	-1.3968  	0.87239  	0.73149  	0.82469  	0.22782  	0.43753  	0.79870  	-1.8333  	-0.4163  	-0.6601  	-0.5411  	0.17822  	-0.0832  	-0.1840  	0.41618  	0.62839  	0.85743  	0.47355  	-1.0128  	-0.3530  	0.96758  	0.27041  	0.19791  	0.84734  	-0.0601  	-0.1488  	-0.0945  	0.49870  	0.29115  	-0.0349  	0.08387  	-0.0405  	-0.0127  	0.08153  	0.12302  	-0.0380  	0.05485  	-0.0690  	-0.0676  	-0.0309  	-0.1605  	-0.2016  	0.29186  	-0.0314  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.6587  	-0.4893  	0.27657  	-0.0784  	1.10087  	-0.9928  	-2.0761  	-0.9921  	0.47298  	-1.2034  	-1.1717  	2.9638  	-0.7305  	-1.1237  	-2.4129  	0.82973  	0.52447  	-0.0785  	1.07637  	-0.3688  	-1.2711  	0.92688  	0.88483  	1.09849  	0.19970  	0.47176  	0.90890  	-2.0255  	-0.3501  	-0.5947  	-0.6446  	0.15649  	-0.1599  	-0.2527  	0.47181  	0.59088  	0.86689  	0.45434  	-0.9903  	-0.3326  	0.90122  	0.29949  	0.23348  	0.84044  	-0.0040  	-0.1082  	-0.1089  	0.47260  	0.25147  	-0.0469  	0.08088  	-0.0423  	-0.0177  	0.07270  	0.11573  	-0.0055  	0.06265  	-0.0664  	-0.0528  	-0.0211  	-0.1770  	-0.1988  	0.23702  	-0.0230  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.2477  	-0.3438  	0.37716  	0.35412  	1.44695  	-0.8780  	-1.9573  	-0.7536  	0.62562  	-1.3997  	-1.5818  	3.05326  	-0.3165  	-0.4343  	-1.4651  	0.57408  	0.56063  	-0.1063  	0.97557  	-0.4493  	-1.2181  	0.91455  	0.79093  	0.85401  	0.28745  	0.45001  	0.82988  	-2.0185  	-0.2818  	-0.4839  	-0.5966  	0.01266  	-0.0886  	-0.1164  	0.60945  	0.23821  	0.79525  	0.34754  	-0.9554  	-0.3038  	0.82540  	0.28679  	0.20048  	0.77976  	-0.0450  	-0.1447  	-0.1006  	0.43542  	0.27876  	-0.0263  	0.06197  	-0.0545  	-0.0447  	0.07437  	0.09684  	-0.0041  	0.06073  	-0.0818  	-0.0755  	-0.0382  	-0.2005  	-0.1594  	0.25355  	-0.0157  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.4363  	-0.4362  	0.30924  	0.22131  	1.52795  	-0.9913  	-1.8975  	-0.6732  	0.65930  	-1.4374  	-1.5342  	3.18282  	-0.2786  	-0.3312  	-1.2925  	0.51047  	0.56904  	-0.0947  	0.98506  	-0.4856  	-1.1459  	0.93458  	0.90987  	0.89214  	0.18804  	0.49994  	0.81821  	-2.0489  	-0.2420  	-0.5498  	-0.5599  	-0.0339  	0.04456  	-0.1538  	0.60256  	0.15932  	0.79386  	0.36001  	-0.9814  	-0.3066  	0.73043  	0.33386  	0.13248  	0.79799  	-0.0339  	-0.1117  	-0.0627  	0.43971  	0.25516  	-0.0424  	0.04124  	-0.0556  	-0.0430  	0.07407  	0.11410  	-0.0303  	0.06810  	-0.0665  	-0.0804  	-0.0220  	-0.1769  	-0.1679  	0.25226  	-0.0156  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.8653  	-0.4067  	0.26510  	-0.5884  	1.11990  	-1.1372  	-1.9614  	-0.8744  	0.67009  	-1.2886  	-1.2809  	3.01082  	-0.5327  	-0.9575  	-1.7147  	0.42465  	0.53227  	0.09258  	1.01744  	-0.3945  	-1.1483  	0.90506  	1.14964  	0.80428  	-0.1395  	0.54419  	0.54203  	-2.0833  	-0.4025  	-0.7225  	-0.4902  	-0.0447  	0.06597  	-0.1342  	0.36265  	0.17948  	0.86247  	0.40626  	-1.0317  	-0.3135  	0.97541  	0.23265  	0.17230  	0.83216  	-0.0379  	-0.1185  	-0.0638  	0.42188  	0.24152  	-0.0310  	0.04438  	-0.0322  	-0.0220  	0.07958  	0.10830  	-0.0258  	0.03015  	-0.0674  	-0.0752  	-0.0296  	-0.1647  	-0.1881  	0.22622  	-0.0343  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.8030  	-0.5617  	0.45420  	-0.5664  	0.93518  	-1.1530  	-2.0314  	-0.9111  	0.62377  	-1.2286  	-1.2341  	2.69249  	-0.5753  	-1.2745  	-2.1451  	0.70384  	0.53691  	-0.0021  	1.11685  	-0.3011  	-1.3158  	0.78775  	1.11512  	0.80516  	-0.0114  	0.53966  	0.63379  	-2.1065  	-0.4110  	-0.6303  	-0.4927  	0.06232  	-0.0221  	-0.1581  	0.36644  	0.34215  	0.81067  	0.50044  	-1.0760  	-0.2756  	1.03800  	0.21348  	0.17790  	0.85736  	-0.0930  	-0.1300  	-0.0715  	0.45316  	0.24940  	-0.0191  	0.05925  	-0.0336  	-0.0359  	0.08669  	0.11176  	-0.0072  	0.04524  	-0.0724  	-0.0669  	-0.0352  	-0.1728  	-0.1885  	0.26720  	-0.0481  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.8740  	-0.4996  	0.38791  	-0.4567  	0.99354  	-1.2047  	-2.0052  	-1.0574  	0.56931  	-1.3540  	-1.1391  	2.66414  	-0.6091  	-1.4233  	-2.0987  	0.57321  	0.58902  	-0.0529  	1.08343  	-0.2234  	-1.2294  	0.76699  	1.02479  	0.80491  	0.14544  	0.54039  	0.76095  	-1.9303  	-0.4005  	-0.5898  	-0.5498  	0.09176  	-0.0536  	-0.1302  	0.38471  	0.45754  	0.86377  	0.48653  	-1.0493  	-0.3404  	0.96720  	0.23917  	0.14817  	0.84889  	-0.0598  	-0.1328  	-0.0795  	0.48341  	0.25010  	-0.0446  	0.06355  	-0.0326  	-0.0115  	0.09248  	0.10414  	-0.0099  	0.06596  	-0.0631  	-0.0450  	-0.0296  	-0.1687  	-0.2093  	0.28665  	-0.0470  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.6620  	-0.4872  	0.26174  	0.26694  	1.45491  	-0.9069  	-1.9980  	-0.6571  	0.61622  	-1.5056  	-1.5518  	3.05036  	-0.4241  	-0.8003  	-1.3628  	0.64676  	0.62187  	0.02164  	1.06609  	-0.2874  	-1.2433  	0.78074  	0.87799  	0.88278  	0.17409  	0.53071  	0.73096  	-1.8814  	-0.1565  	-0.4738  	-0.5559  	-0.0403  	0.01904  	-0.1215  	0.44895  	0.23269  	0.66807  	0.39469  	-1.0060  	-0.3165  	0.83116  	0.28985  	0.09439  	0.72309  	-0.0175  	-0.1178  	-0.0703  	0.41194  	0.27305  	-0.0849  	0.05939  	-0.0502  	-0.0465  	0.05965  	0.09898  	-0.0123  	0.07438  	-0.0682  	-0.0623  	-0.0165  	-0.1789  	-0.1830  	0.27031  	-0.0360  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.6625  	-0.3786  	0.34577  	0.21215  	1.39733  	-0.8156  	-2.0263  	-0.6999  	0.66842  	-1.4597  	-1.6253  	3.15694  	-0.3572  	-0.5845  	-1.2535  	0.53026  	0.56300  	0.00699  	0.97707  	-0.2650  	-1.1917  	0.90535  	0.89644  	0.70494  	0.02385  	0.53518  	0.56617  	-1.8527  	-0.1985  	-0.5312  	-0.4479  	-0.0779  	0.05838  	-0.1057  	0.42254  	0.20201  	0.72610  	0.36626  	-0.9399  	-0.3221  	0.85706  	0.25489  	0.13561  	0.76023  	-0.0443  	-0.1260  	-0.0632  	0.45304  	0.23570  	-0.0289  	0.07717  	-0.0573  	-0.0414  	0.07547  	0.09676  	-0.0123  	0.07508  	-0.0657  	-0.0734  	-0.0265  	-0.1667  	-0.1683  	0.25392  	-0.0331  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
-0.4102  	-0.3725  	0.55573  	-0.1938  	1.12243  	-0.6507  	-2.0543  	-0.6242  	0.60569  	-1.4668  	-1.4451  	3.00704  	-0.4726  	-0.9157  	-1.4265  	0.59620  	0.58847  	-0.0645  	1.06959  	-0.4287  	-1.0659  	0.95529  	1.24008  	0.92227  	0.06347  	0.52670  	0.64481  	-2.1220  	-0.4305  	-0.7062  	-0.5068  	-0.0184  	0.02779  	-0.1506  	0.38950  	0.19278  	0.96436  	0.43729  	-1.0559  	-0.3375  	0.99970  	0.25588  	0.20695  	0.86502  	-0.0676  	-0.1269  	-0.0487  	0.48384  	0.23424  	-0.0048  	0.01596  	-0.0466  	-0.0276  	0.07845  	0.09051  	-0.0157  	0.06743  	-0.0587  	-0.0759  	-0.0500  	-0.1732  	-0.1855  	0.22227  	-0.0687  	0.10438  	-0.4137  	-0.0561  	0.02400  	0.00541  	0.62820  	0.50885  	265.059  	212.284  	
